record_id,store_name,store_type,store_group,street_num,street_name,address_add,city,state,zip,zip4,auth_date,auth_year,end_date,end_year,x,y,county,cty_fips,msa_fips,msa_name,msaclass_name,msa_class,gisjn_msa,dollar_type
527940,DOLLAR GENERAL  3232,Combination Grocery/Other,Small retail,109,N Memorial Dr,NA,Prattville,AL,36067,3336,8/10/2004,2004,NA,NA,-86.451,32.46532,AUTAUGA,1001,33860,"Montgomery, AL","Montgomery, AL Metro Area",M1,G33860,Dollar General
450934,DOLLAR GENERAL 9570,Combination Grocery/Other,Small retail,601,McQueen Smith Rd N,NA,Prattville,AL,36066,5561,8/10/2004,2004,NA,NA,-86.42035,32.47905,AUTAUGA,1001,33860,"Montgomery, AL","Montgomery, AL Metro Area",M1,G33860,Dollar General
761623,DOLLAR GENERAL 5726,Combination Grocery/Other,Small retail,1014,Highway 14 W,NA,Prattville,AL,36067,4702,8/2/2005,2005,NA,NA,-86.47609,32.43718,AUTAUGA,1001,33860,"Montgomery, AL","Montgomery, AL Metro Area",M1,G33860,Dollar General
770542,Dollar General 9980,Combination Grocery/Other,Small retail,4260,Al Highway 14 W,NA,Selma,AL,36703,9352,11/1/2005,2005,NA,NA,-86.86927,32.47224,AUTAUGA,1001,33860,"Montgomery, AL","Montgomery, AL Metro Area",M1,G33860,Dollar General
1172964,Dollar General 15660,Combination Grocery/Other,Small retail,108,S Washington St,NA,Autaugaville,AL,36003,NA,11/17/2014,2014,NA,NA,-86.65498,32.43106,AUTAUGA,1001,33860,"Montgomery, AL","Montgomery, AL Metro Area",M1,G33860,Dollar General
1194722,Dollar General 15346,Combination Grocery/Other,Small retail,694,Golson Rd,NA,Prattville,AL,36067,NA,5/7/2015,2015,NA,NA,-86.5289,32.46539,AUTAUGA,1001,33860,"Montgomery, AL","Montgomery, AL Metro Area",M1,G33860,Dollar General
1285016,Dollar General 17887,Combination Grocery/Other,Small retail,1986,County Road 57,NA,Prattville,AL,36067,6846,5/11/2017,2017,NA,NA,-86.55145,32.57275,AUTAUGA,1001,33860,"Montgomery, AL","Montgomery, AL Metro Area",M1,G33860,Dollar General
1305956,Dollar General 18637,Combination Grocery/Other,Small retail,3362,Highway 82 W,NA,Billingsley,AL,36006,3623,11/16/2017,2017,NA,NA,-86.73945,32.62887,AUTAUGA,1001,33860,"Montgomery, AL","Montgomery, AL Metro Area",M1,G33860,Dollar General
1383964,Dollar General 20939,Combination Grocery/Other,Small retail,1455,Martin L King Jr Dr,NA,Prattville,AL,36067,NA,10/22/2019,2019,NA,NA,-86.45867,32.51058,AUTAUGA,1001,33860,"Montgomery, AL","Montgomery, AL Metro Area",M1,G33860,Dollar General
1404039,Dollar General 21115,Combination Grocery/Other,Small retail,428,E Main St,NA,Prattville,AL,36067,3410,4/23/2020,2020,NA,NA,-86.46358,32.45925,AUTAUGA,1001,33860,"Montgomery, AL","Montgomery, AL Metro Area",M1,G33860,Dollar General
836893,Dollar Tree 0783,Combination Grocery/Other,Small retail,1920,Cobbs Ford Rd,NA,Prattville,AL,36066,7726,11/5/2007,2007,NA,NA,-86.41517,32.46011,AUTAUGA,1001,33860,"Montgomery, AL","Montgomery, AL Metro Area",M1,G33860,Dollar Tree
1130356,Family Dollar Store 10651,Combination Grocery/Other,Small retail,104,Hwy 82 Bypass,NA,Prattville,AL,36067,NA,1/30/2014,2014,NA,NA,-86.47271,32.43794,AUTAUGA,1001,33860,"Montgomery, AL","Montgomery, AL Metro Area",M1,G33860,Family Dollar
492151,DOLLAR GENERAL  0703,Combination Grocery/Other,Small retail,800,McMeans Ave,NA,Bay Minette,AL,36507,3302,6/29/2004,2004,NA,NA,-87.78837,30.88557,BALDWIN,1003,19300,"Daphne-Fairhope-Foley, AL","Daphne-Fairhope-Foley, AL Metro Area",M1,G19300,Dollar General
288419,DOLLAR GENERAL 0728,Combination Grocery/Other,Small retail,21797A,State Highway 59 S,NA,Robertsdale,AL,36567,6797,7/26/2004,2004,NA,NA,-87.70842,30.54234,BALDWIN,1003,19300,"Daphne-Fairhope-Foley, AL","Daphne-Fairhope-Foley, AL Metro Area",M1,G19300,Dollar General
726206,DOLLAR GENERAL 1632,Combination Grocery/Other,Small retail,30585A,Hwy 225,NA,Spanish Fort,AL,36527,5029,7/27/2004,2004,NA,NA,-87.90739,30.67055,BALDWIN,1003,19300,"Daphne-Fairhope-Foley, AL","Daphne-Fairhope-Foley, AL Metro Area",M1,G19300,Dollar General
